RunId,iteration,Step,number_of_households,number_of_steps,flood_map_choice,network,TotalAdaptedHouseholds,TotalActualDamage,TotalExpectedDamage,TotalAdaptationCosts,TotalCostsOfSubsidies,AverageDamagePerPoorHousehold,AverageDamagePerMiddleClassHousehold,AverageDamagePerRichHousehold,AverageIncomeToDamagePoorHousehold,AverageIncomeToDamageMiddleClassHousehold,AverageIncomeToDamageRichHousehold
147,49,41,1000,80,harvey,watts_strogatz,625,45925227.103869125,48545738.82405642,3700990,0,19722.45444194308,45903.642013983634,112881.52122154202,4.163504275240461,1.5481786845653227,1.2691876164301141
152,50,1,1000,80,500yr,watts_strogatz,96,34695050.90297478,37031568.79878673,126995,0,18612.133332807585,34353.1584194654,76748.96067862037,3.7612553093159495,1.1599748392536355,0.8468687758298504
153,51,2,1000,80,harvey,watts_strogatz,275,66116805.9507311,70161411.51723184,722075,0,33221.05080759938,58659.60895604174,170361.9189398459,6.625294210405367,1.9735042730412058,1.9250035727375578
151,50,50,1000,80,100yr,watts_strogatz,337,14441023.37415443,15403888.924786681,1796550,0,7316.083074140924,12597.280450149336,41579.11596256858,1.4642734852847223,0.43394442120686766,0.4673897468164916
149,49,71,1000,80,500yr,watts_strogatz,437,22088017.027238466,23870170.31200788,2540395,0,9978.248334777796,18468.63305779468,69584.69895736586,1.9369522048572363,0.6435847591515035,0.7908939398780495
154,51,31,1000,80,100yr,watts_strogatz,315,14952909.372565368,16124518.215832962,1490750,0,7612.797367177122,14096.317517428351,37107.72262076063,1.5148001175589831,0.47615878935351513,0.42561969430877555
150,50,71,1000,80,harvey,watts_strogatz,544,49331544.95917316,51847102.20210833,3664785,0,25420.478163950436,47128.69586954923,115446.65777784587,5.157425594792863,1.596679189476284,1.2848813460758668
155,51,28,1000,80,500yr,watts_strogatz,409,18953965.56513325,20279964.349910792,1785660,0,7919.548142857656,17335.150432619354,60371.08272331451,1.60414863721101,0.5987028223135092,0.6869182115044044
156,52,32,1000,80,harvey,watts_strogatz,569,50890052.00543115,54240420.963262305,2949460,0,29707.9095589956,45897.11811014261,128872.2951901783,5.639555516132638,1.6123912910179843,1.443836462024913
159,53,21,1000,80,harvey,watts_strogatz,542,48423912.793784104,51095272.71235416,2006925,0,23482.883201595898,48406.5714689053,114520.21274457112,4.6239579446950545,1.6485019538254186,1.3252239716933687
